2021,2019,2015,2013,2010,2009,2008,2007,2005,2004
"(III) The qualifying retail utility may establish one or more standard offers to purchase renewable energy credits generated from eligible energy resources on the customer’s premises so long as the generation is one megawatt or less in size. When establishing the standard offers, the qualifying retail utility should set the prices for renewable energy credits at levels sufficient to encourage increased distributed generation and renewable energy storage in the size ranges covered by each standard offer, but at levels that will still allow the qualifying retail utility to comply with the electric resource standards set forth in subsection (1)(c) of this section without exceeding the retail rate impact limit in subsection (1)(g) of this section.","(III) The qualifying retail utility may establish one or more standard offers to purchase renewable energy credits generated from the eligible solar electric generation on the customer’s premises so long as the generation meets the size and location requirements set forth in subparagraph (II) of this paragraph (e) and so long as the generation is five hundred kilowatts or less in size. When establishing the standard offers, the prices for renewable energy credits should be set at levels sufficient to encourage increased customer-sited solar generation in the size ranges covered by each standard offer, but at levels that will still allow the qualifying retail utility to comply with the electric resource standards set forth in paragraph (c) of this subsection (1) without exceeding the retail rate impact limit in paragraph (g) of this subsection (1). The commission shall encourage qualifying retail utilities to design solar programs that allow consumers of all income levels to obtain the benefits offered by solar electricity generation and shall allow programs that are designed to extend participation to customers in market segments that have not been responding to the standard offer program.","(III) The qualifying retail utility may establish one or more standard offers to purchase renewable energy credits generated from the eligible solar electric generation on the customer’s premises so long as the generation meets the size and location requirements set forth in subparagraph (II) of this paragraph (e) and so long as the generation is five hundred kilowatts or less in size. When establishing the standard offers, the prices for renewable energy credits should be set at levels sufficient to encourage increased customer-sited solar generation in the size ranges covered by each standard offer, but at levels that will still allow the qualifying retail utility to comply with the electric resource standards set forth in paragraph (c) of this subsection (1) without exceeding the retail rate impact limit in paragraph (g) of this subsection (1). The commission shall encourage qualifying retail utilities to design solar programs that allow consumers of all income levels to obtain the benefits offered by solar electricity generation and shall allow programs that are designed to extend participation to customers in market segments that have not been responding to the standard offer program.","(III) The qualifying retail utility may establish one or more standard offers to purchase renewable energy credits generated from the eligible solar electric generation on the customer’s premises so long as the generation meets the size and location requirements set forth in subparagraph (II) of this paragraph (e) and so long as the generation is five hundred kilowatts or less in size. When establishing the standard offers, the prices for renewable energy credits should be set at levels sufficient to encourage increased customer-sited solar generation in the size ranges covered by each standard offer, but at levels that will still allow the qualifying retail utility to comply with the electric resource standards set forth in paragraph (c) of this subsection (1) without exceeding the retail rate impact limit in paragraph (g) of this subsection (1). The commission shall encourage qualifying retail utilities to design solar programs that allow consumers of all income levels to obtain the benefits offered by solar electricity generation and shall allow programs that are designed to extend participation to customers in market segments that have not been responding to the standard offer program.","(III) The qualifying retail utility may establish one or more standard offers to purchase renewable energy credits generated from the eligible solar electric generation on the customer’s premises so long as the generation meets the size and location requirements set forth in subparagraph (II) of this paragraph (e) and so long as the generation is five hundred kilowatts or less in size. When establishing the standard offers, the prices for renewable energy credits should be set at levels sufficient to encourage increased customer-sited solar generation in the size ranges covered by each standard offer, but at levels that will still allow the qualifying retail utility to comply with the electric resource standards set forth in paragraph (c) of this subsection (1) without exceeding the retail rate impact limit in paragraph (g) of this subsection (1). The commission shall encourage qualifying retail utilities to design solar programs that allow consumers of all income levels to obtain the benefits offered by solar electricity generation and shall allow programs that are designed to extend participation to customers in market segments that have not been responding to the standard offer program.","(III) The qualifying retail utility may establish one or more standard offers to purchase renewable energy credits generated from the eligible solar electric generation on the customer’s premises so long as the generation meets the size and location requirements set forth in subparagraph (II) of this paragraph (e) and so long as the generation is five hundred kilowatts or less in size. When establishing the standard offers, the prices for renewable energy credits should be set at levels sufficient to encourage increased customer-sited solar generation in the size ranges covered by each standard offer, but at levels that will still allow the qualifying retail utility to comply with the electric resource standards set forth in paragraph (c) of this subsection (1) without exceeding the retail rate impact limit in paragraph (g) of this subsection (1). The commission shall encourage qualifying retail utilities to design solar programs that allow consumers of all income levels to obtain the benefits offered by solar electricity generation and shall allow programs that are designed to extend participation to customers in market segments that have not been responding to the standard offer program.",,,,
"(IV) The commission shall encourage qualifying retail utilities to design rebate offers and other incentive programs that allow consumers of all income levels, particularly those in low-income and disproportionately impacted communities, to obtain the benefits offered by distributed generation and energy storage, and shall encourage programs that are designed to extend participation to customers in these and other market segments that have previously been underrepresented in the standard offer program.",,,,,,,,,
(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies must provide incentives to qualifying retail utilities to invest in eligible energy resources and must include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies must provide incentives to qualifying retail utilities to invest in eligible energy resources and must include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies must provide incentives to qualifying retail utilities to invest in eligible energy resources and must include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies must provide incentives to qualifying retail utilities to invest in eligible energy resources and must include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies shall provide incentives to qualifying retail utilities to invest in eligible energy resources in the state of Colorado. Such policies shall include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies shall provide incentives to qualifying retail utilities to invest in eligible energy resources in the state of Colorado. Such policies shall include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies shall provide incentives to qualifying retail utilities to invest in eligible energy resources in the state of Colorado. Such policies shall include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission. These policies shall provide incentives to qualifying retail utilities to invest in eligible energy resources in the state of Colorado. Such policies shall include:,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission.,(f) Policies for the recovery of costs incurred with respect to these standards for qualifying retail utilities that are subject to rate regulation by the commission.
(I) Repealed.,(I) Repealed.,"(I) Allowing a qualifying retail utility to develop and own as utility rate-based property up to twenty-five percent of the total new eligible energy resources the utility acquires from entering into power purchase agreements and from developing and owning resources after March 27, 2007, if the new eligible energy resources proposed to be developed and owned by the utility can be constructed at reasonable cost compared to the cost of similar eligible energy resources available in the market. The qualifying retail utility shall be allowed to develop and own as utility rate-based property more than twenty-five percent but not more than fifty percent of total new eligible energy resources acquired after March 27, 2007, if the qualifying retail utility shows that its proposal would provide significant economic development, employment, energy security, or other benefits to the state of Colorado. The qualifying retail utility may develop and own these resources either by itself or jointly with other owners, and, if owned jointly, the entire jointly owned resource shall count toward the percentage limitations in this subparagraph (I). For the resources addressed in this subparagraph (I), the qualifying retail utility shall not be required to comply with the competitive bidding requirements of the commission’s rules; except that nothing in this subparagraph (I) shall preclude the qualifying retail utility from bidding to own a greater percentage of new eligible energy resources than permitted by this subparagraph (I). In addition, nothing in this subparagraph (I) shall prevent the commission from waiving, repealing, or revising any commission rule in a manner otherwise consistent with applicable law.","(I) Allowing a qualifying retail utility to develop and own as utility rate-based property up to twenty-five percent of the total new eligible energy resources the utility acquires from entering into power purchase agreements and from developing and owning resources after March 27, 2007, if the new eligible energy resources proposed to be developed and owned by the utility can be constructed at reasonable cost compared to the cost of similar eligible energy resources available in the market. The qualifying retail utility shall be allowed to develop and own as utility rate-based property more than twenty-five percent but not more than fifty percent of total new eligible energy resources acquired after March 27, 2007, if the qualifying retail utility shows that its proposal would provide significant economic development, employment, energy security, or other benefits to the state of Colorado. The qualifying retail utility may develop and own these resources either by itself or jointly with other owners, and, if owned jointly, the entire jointly owned resource shall count toward the percentage limitations in this subparagraph (I). For the resources addressed in this subparagraph (I), the qualifying retail utility shall not be required to comply with the competitive bidding requirements of the commission’s rules; except that nothing in this subparagraph (I) shall preclude the qualifying retail utility from bidding to own a greater percentage of new eligible energy resources than permitted by this subparagraph (I). In addition, nothing in this subparagraph (I) shall prevent the commission from waiving, repealing, or revising any commission rule in a manner otherwise consistent with applicable law.","(I) Allowing a qualifying retail utility to develop and own as utility rate-based property up to twenty-five percent of the total new eligible energy resources the utility acquires from entering into power purchase agreements and from developing and owning resources after March 27, 2007, if the new eligible energy resources proposed to be developed and owned by the utility can be constructed at reasonable cost compared to the cost of similar eligible energy resources available in the market. The qualifying retail utility shall be allowed to develop and own as utility rate-based property more than twenty-five percent but not more than fifty percent of total new eligible energy resources acquired after March 27, 2007, if the qualifying retail utility shows that its proposal would provide significant economic development, employment, energy security, or other benefits to the state of Colorado. The qualifying retail utility may develop and own these resources either by itself or jointly with other owners, and, if owned jointly, the entire jointly owned resource shall count toward the percentage limitations in this subparagraph (I). For the resources addressed in this subparagraph (I), the qualifying retail utility shall not be required to comply with the competitive bidding requirements of the commission’s rules; except that nothing in this subparagraph (I) shall preclude the qualifying retail utility from bidding to own a greater percentage of new eligible energy resources than permitted by this subparagraph (I). In addition, nothing in this subparagraph (I) shall prevent the commission from waiving, repealing, or revising any commission rule in a manner otherwise consistent with applicable law.","(I) Allowing a qualifying retail utility to develop and own as utility rate-based property up to twenty-five percent of the total new eligible energy resources the utility acquires from entering into power purchase agreements and from developing and owning resources after March 27, 2007, if the new eligible energy resources proposed to be developed and owned by the utility can be constructed at reasonable cost compared to the cost of similar eligible energy resources available in the market. The qualifying retail utility shall be allowed to develop and own as utility rate-based property more than twenty-five percent but not more than fifty percent of total new eligible energy resources acquired after March 27, 2007, if the qualifying retail utility shows that its proposal would provide significant economic development, employment, energy security, or other benefits to the state of Colorado. The qualifying retail utility may develop and own these resources either by itself or jointly with other owners, and, if owned jointly, the entire jointly owned resource shall count toward the percentage limitations in this subparagraph (I). For the resources addressed in this subparagraph (I), the qualifying retail utility shall not be required to comply with the competitive bidding requirements of the commission’s rules; except that nothing in this subparagraph (I) shall preclude the qualifying retail utility from bidding to own a greater percentage of new eligible energy resources than permitted by this subparagraph (I). In addition, nothing in this subparagraph (I) shall prevent the commission from waiving, repealing, or revising any commission rule in a manner otherwise consistent with applicable law.","(I) Allowing a qualifying retail utility to develop and own as utility rate-based property up to twenty-five percent of the total new eligible energy resources the utility acquires from entering into power purchase agreements and from developing and owning resources after March 27, 2007, if the new eligible energy resources proposed to be developed and owned by the utility can be constructed at reasonable cost compared to the cost of similar eligible energy resources available in the market. The qualifying retail utility shall be allowed to develop and own as utility rate-based property more than twenty-five percent but not more than fifty percent of total new eligible energy resources acquired after March 27, 2007, if the qualifying retail utility shows that its proposal would provide significant economic development, employment, energy security, or other benefits to the state of Colorado. The qualifying retail utility may develop and own these resources either by itself or jointly with other owners, and, if owned jointly, the entire jointly owned resource shall count toward the percentage limitations in this subparagraph (I). For the resources addressed in this subparagraph (I), the qualifying retail utility shall not be required to comply with the competitive bidding requirements of the commission’s rules; except that nothing in this subparagraph (I) shall preclude the qualifying retail utility from bidding to own a greater percentage of new eligible energy resources than permitted by this subparagraph (I). In addition, nothing in this subparagraph (I) shall prevent the commission from waiving, repealing, or revising any commission rule in a manner otherwise consistent with applicable law.","(I) Allowing a qualifying retail utility to develop and own as utility rate-based property up to twenty-five percent of the total new eligible energy resources the utility acquires from entering into power purchase agreements and from developing and owning resources after March 27, 2007, if the new eligible energy resources proposed to be developed and owned by the utility can be constructed at reasonable cost compared to the cost of similar eligible energy resources available in the market. The qualifying retail utility shall be allowed to develop and own as utility rate-based property more than twenty-five percent but not more than fifty percent of total new eligible energy resources acquired after March 27, 2007, if the qualifying retail utility shows that its proposal would provide significant economic development, employment, energy security, or other benefits to the state of Colorado. The qualifying retail utility may develop and own these resources either by itself or jointly with other owners, and, if owned jointly, the entire jointly owned resource shall count toward the percentage limitations in this subparagraph (I). For the resources addressed in this subparagraph (I), the qualifying retail utility shall not be required to comply with the competitive bidding requirements of the commission’s rules; except that nothing in this subparagraph (I) shall preclude the qualifying retail utility from bidding to own a greater percentage of new eligible energy resources than permitted by this subparagraph (I). In addition, nothing in this subparagraph (I) shall prevent the commission from waiving, repealing, or revising any commission rule in a manner otherwise consistent with applicable law.",,
(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in eligible energy resource technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in renewable energy technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.,(II) Allowing qualifying retail utilities to earn an extra profit on their investment in renewable energy technologies if these investments provide net economic benefits to customers as determined by the commission. The allowable extra profit in any year shall be the qualifying retail utility’s most recent commission authorized rate of return plus a bonus limited to fifty percent of the net economic benefit.
"(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in eligible energy resource technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in renewable energy technologies if these investments do not provide a net economic benefit to customers.","(III) Allowing qualifying retail utilities to earn their most recent commission authorized rate of return, but no bonus, on investments in renewable energy technologies if these investments do not provide a net economic benefit to customers."
"(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:","(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:","(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:","(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:","(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:","(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:","(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:","(IV) Considering, when the qualifying retail utility applies for a certificate of public convenience and necessity under section 40-5-101, rate recovery mechanisms that provide for earlier and timely recovery of costs prudently and reasonably incurred by the qualifying retail utility in developing, constructing, and operating the eligible energy resource, including:",,
(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,(A) Rate adjustment clauses until the costs of the eligible energy resource can be included in the utility’s base rates; and,,
"(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.","(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.","(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.","(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.","(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.","(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.","(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.","(B) A current return on the utility’s capital expenditures during construction at the utility’s weighted average cost of capital, including its most recently authorized rate of return on equity, during the construction, startup, and operation phases of the eligible energy resource.",,
"(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years; except that such contracts for systems of between one hundred kilowatts and one megawatt may have a different term if mutually agreed to by the parties.","(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years; except that such contracts for systems of between one hundred kilowatts and one megawatt may have a different term if mutually agreed to by the parties.","(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years; except that such contracts for systems of between one hundred kilowatts and one megawatt may have a different term if mutually agreed to by the parties.","(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years; except that such contracts for systems of between one hundred kilowatts and one megawatt may have a different term if mutually agreed to by the parties.","(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years; except that such contracts for systems of between one hundred kilowatts and one megawatt may have a different term if mutually agreed to by the parties.","(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years; except that such contracts for systems of between one hundred kilowatts and one megawatt may have a different term if mutually agreed to by the parties.","(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years.","(V) If the commission approves the terms and conditions of an eligible energy resource contract between the qualifying retail utility and another party, the contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible energy resources shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years.","(V) If the commission approves the terms and conditions of a renewable energy contract between the qualifying retail utility and another party, the renewable energy contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible renewable electricity shall have a minimum term of twenty years; except that the contract term may be shortened at the sole discretion of the seller. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years","(V) If the commission approves the terms and conditions of a renewable energy contract between the qualifying retail utility and another party, the renewable energy contract and its terms and conditions shall be deemed to be a prudent investment, and the commission shall approve retail rates sufficient to recover all just and reasonable costs associated with the contract. All contracts for acquisition of eligible renewable electricity shall have a minimum term of 20 years. All contracts for the acquisition of renewable energy credits from solar electric technologies located on site at customer facilities shall also have a minimum term of twenty years"
(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy or renewable energy credits. The commission may develop standard terms for the submission of such proposals.,(VI) A requirement that qualifying retail utilities consider proposals offered by third parties for the sale of renewable energy and/or renewable energy credits. The commission may develop standard terms for the submission of such proposals.
(VII) A requirement that all distributed renewable electric generation facilities with a nameplate rating of one megawatt or more be registered with a renewable energy generation information tracking system designated by the commission.,(VII) A requirement that all distributed renewable electric generation facilities with a nameplate rating of one megawatt or more be registered with a renewable energy generation information tracking system designated by the commission.,(VII) A requirement that all distributed renewable electric generation facilities with a nameplate rating of one megawatt or more be registered with a renewable energy generation information tracking system designated by the commission.,(VII) A requirement that all distributed renewable electric generation facilities with a nameplate rating of one megawatt or more be registered with a renewable energy generation information tracking system designated by the commission.,(VII) A requirement that all distributed renewable electric generation facilities with a nameplate rating of one megawatt or more be registered with a renewable energy generation information tracking system designated by the commission.,,,,,
